,element,count,ncif,min,max,mean,stddev,e1,e2,z1,z2
0,Ag-Ag,8618,1340,2.1992,3.1623,2.951,0.136,Ag,Ag,47,47
1,Ag-Al,85,46,2.0841,2.9176,2.615,0.258,Ag,Al,13,47
2,Ag-As,70,33,2.453,2.9737,2.633,0.089,Ag,As,33,47
3,Ag-B,43,20,2.0617,2.6504,2.494,0.152,Ag,B,5,47
4,Ag-Br,554,187,2.21,2.923,2.698,0.128,Ag,Br,35,47
5,Ag-C,6303,1276,1.8305,2.4897,2.223,0.133,Ag,C,6,47
6,Ag-Ca,37,20,2.8457,3.2316,3.14,0.073,Ag,Ca,20,47
7,Ag-Cl,934,344,2.0529,2.9182,2.62,0.168,Ag,Cl,17,47
8,Ag-Cr,1,1,2.9138,2.9138,2.914,0.0,Ag,Cr,24,47
9,Ag-Cu,207,61,2.0832,2.9587,2.777,0.142,Ag,Cu,29,47
10,Ag-F,163,64,1.8018,2.4243,2.158,0.159,Ag,F,9,47
11,Ag-Fe,12,10,2.5214,2.8766,2.638,0.084,Ag,Fe,26,47
12,Ag-Ga,11,7,2.4108,2.8135,2.583,0.124,Ag,Ga,31,47
13,Ag-Ge,68,41,2.3267,3.0181,2.64,0.153,Ag,Ge,32,47
14,Ag-H,40,25,1.3862,1.9532,1.831,0.13,Ag,H,1,47
15,Ag-K,1,1,2.9455,2.9455,2.945,0.0,Ag,K,19,47
16,Ag-Li,1,1,2.2574,2.2574,2.257,0.0,Ag,Li,3,47
17,Ag-Mg,99,36,2.5119,3.1855,2.906,0.152,Ag,Mg,12,47
18,Ag-Mn,12,6,2.5765,2.8422,2.692,0.081,Ag,Mn,25,47
19,Ag-Mo,34,12,2.7547,3.1109,2.919,0.081,Ag,Mo,42,47
20,Ag-N,15809,4472,1.7474,2.5808,2.253,0.118,Ag,N,7,47
21,Ag-Na,14,9,2.2915,3.2247,3.047,0.24,Ag,Na,11,47
22,Ag-Nb,13,10,2.7665,3.1,2.974,0.103,Ag,Nb,41,47
23,Ag-Ni,51,1,2.6602,2.9355,2.781,0.093,Ag,Ni,28,47
24,Ag-O,19230,3858,1.7013,2.8,2.485,0.173,Ag,O,8,47
25,Ag-P,2352,833,2.0181,2.7866,2.445,0.068,Ag,P,15,47
26,Ag-Pd,36,18,2.6113,3.0903,2.812,0.122,Ag,Pd,46,47
27,Ag-Rb,2,2,2.7694,2.8177,2.794,0.024,Ag,Rb,37,47
28,Ag-Ru,8,5,2.6813,2.892,2.763,0.062,Ag,Ru,44,47
29,Ag-S,9699,1354,1.9466,2.8268,2.544,0.113,Ag,S,16,47
30,Ag-Se,1422,286,2.0586,2.95,2.66,0.123,Ag,Se,34,47
31,Ag-Si,44,31,2.3608,2.8602,2.522,0.107,Ag,Si,14,47
32,Ag-V,5,5,2.9035,2.9975,2.944,0.04,Ag,V,23,47
33,Ag-Y,4,4,2.9938,3.1341,3.092,0.057,Ag,Y,39,47
34,Ag-Zn,11,7,2.6545,2.9656,2.744,0.079,Ag,Zn,30,47
35,Al-Al,20875,407,1.9687,2.7847,2.579,0.141,Al,Al,13,13
36,Al-B,185,56,1.8134,2.3587,2.221,0.097,Al,B,5,13
37,Al-C,5802,1652,1.6957,2.3004,1.999,0.067,Al,C,6,13
38,Al-F,2462,704,1.5142,2.1994,1.832,0.086,Al,F,9,13
39,Al-H,599,262,1.2482,1.7694,1.576,0.101,Al,H,1,13
40,Al-Li,8,7,1.5002,2.0893,1.711,0.177,Al,Li,3,13
41,Al-Mg,785,300,2.201,2.9971,2.879,0.083,Al,Mg,12,13
42,Al-N,4373,1643,1.6222,2.2748,1.953,0.096,Al,N,7,13
43,Al-Na,87,65,2.1307,3.0422,2.842,0.226,Al,Na,11,13
44,Al-O,42862,7960,1.3188,2.27,1.837,0.136,Al,O,8,13
45,Am-Cl,9,3,2.7131,3.0849,2.802,0.123,Am,Cl,17,95
46,Am-O,109,19,1.7356,2.635,2.426,0.165,Am,O,8,95
47,Al-As,48,15,2.3241,2.7994,2.49,0.09,Al,As,13,33
48,As-As,1556,517,1.9906,2.8203,2.472,0.113,As,As,33,33
49,As-B,96,19,1.7036,2.3829,2.145,0.121,As,B,5,33
50,As-C,3845,871,1.6769,2.1719,1.936,0.036,As,C,6,33
51,As-Ca,128,41,2.4378,3.0678,2.986,0.076,As,Ca,20,33
52,As-Cl,244,112,2.0049,2.5431,2.234,0.088,As,Cl,17,33
53,As-Co,286,78,2.2096,2.763,2.382,0.082,As,Co,27,33
54,As-Cr,131,37,2.3196,2.722,2.513,0.08,As,Cr,24,33
55,As-Cu,312,96,2.0974,2.7788,2.474,0.116,As,Cu,29,33
56,As-F,2402,287,1.4301,2.1739,1.699,0.049,As,F,9,33
57,As-Fe,766,122,2.2099,2.795,2.444,0.083,As,Fe,26,33
58,As-Ga,106,28,2.3271,2.6952,2.468,0.071,As,Ga,31,33
59,As-Ge,201,25,1.9906,2.816,2.494,0.11,As,Ge,32,33
60,As-H,27,20,1.3486,1.7908,1.511,0.13,As,H,1,33
61,As-He,1,1,2.4517,2.4517,2.452,0.0,As,He,2,33
62,As-K,5,4,2.0992,2.9277,2.679,0.309,As,K,19,33
63,As-Mg,28,20,2.5888,3.0139,2.789,0.126,As,Mg,12,33
64,As-Mn,132,62,2.2493,2.7922,2.531,0.123,As,Mn,25,33
65,As-N,334,127,1.7242,2.2738,1.893,0.092,As,N,7,33
66,As-Na,110,43,2.8141,3.066,2.984,0.049,As,Na,11,33
67,As-Ni,398,81,2.0514,2.7648,2.41,0.09,As,Ni,28,33
68,As-O,10132,1651,1.3654,2.2645,1.717,0.068,As,O,8,33
69,As-P,173,79,2.1273,2.6423,2.32,0.084,As,P,15,33
70,As-S,3298,481,1.7802,2.614,2.265,0.088,As,S,16,33
71,As-Si,93,31,2.2164,2.5848,2.354,0.058,As,Si,14,33
72,As-Ti,49,15,2.4568,2.9243,2.65,0.103,As,Ti,22,33
73,As-V,61,16,2.1243,2.798,2.551,0.125,As,V,23,33
74,As-Zn,182,75,2.2931,2.8592,2.588,0.112,As,Zn,30,33
75,Ag-Au,764,112,2.6737,3.1617,2.924,0.106,Ag,Au,47,79
76,Al-Au,177,76,2.4609,2.8684,2.588,0.068,Al,Au,13,79
77,As-Au,76,42,2.3152,2.7514,2.404,0.1,As,Au,33,79
78,Au-Au,6340,801,2.239,3.1622,2.897,0.13,Au,Au,79,79
79,Au-B,58,32,2.0265,2.547,2.294,0.12,Au,B,5,79
80,Au-Br,535,202,2.2773,2.8848,2.429,0.067,Au,Br,35,79
81,Au-C,5020,2067,1.7058,2.4846,2.03,0.072,Au,C,6,79
82,Au-Ca,134,54,2.7742,3.2328,3.122,0.097,Au,Ca,20,79
83,Au-Cd,126,25,2.6971,3.3221,2.864,0.087,Au,Cd,48,79
84,Au-Ce,27,20,3.051,3.5014,3.232,0.129,Au,Ce,58,79
85,Au-Cl,2156,1067,1.9632,2.7196,2.298,0.061,Au,Cl,17,79
86,Au-Co,60,15,2.5025,2.8698,2.694,0.08,Au,Co,27,79
87,Au-Cr,6,5,2.6291,2.9118,2.784,0.112,Au,Cr,24,79
88,Au-Cs,7,5,3.323,3.5673,3.512,0.08,Au,Cs,55,79
89,Au-Cu,371,85,2.5876,2.9616,2.781,0.096,Au,Cu,29,79
90,Au-Dy,9,9,2.5688,3.2995,2.995,0.197,Au,Dy,66,79
91,Au-Er,15,12,2.8605,3.3117,3.032,0.127,Au,Er,68,79
92,Au-Eu,54,30,3.0494,3.7383,3.329,0.145,Au,Eu,63,79
93,Au-F,308,55,1.6728,2.2873,1.937,0.078,Au,F,9,79
94,Au-Fe,4,4,2.506,2.7789,2.615,0.115,Au,Fe,26,79
95,Au-Ga,273,59,2.1393,3.0467,2.696,0.149,Au,Ga,31,79
96,Au-Gd,43,22,2.8596,3.4468,3.156,0.177,Au,Gd,64,79
97,Au-Ge,147,63,2.1248,3.0011,2.599,0.157,Au,Ge,32,79
98,Au-H,5,4,1.7955,1.8942,1.854,0.037,Au,H,1,79
99,Au-Hf,2,2,2.8206,2.9441,2.882,0.062,Au,Hf,72,79
100,Au-Ho,34,15,2.8683,3.2817,3.053,0.11,Au,Ho,67,79
101,Au-I,248,135,2.3937,3.0999,2.616,0.107,Au,I,53,79
102,Au-In,259,89,2.4672,3.2677,2.866,0.114,Au,In,49,79
103,Au-Ir,61,23,2.6197,3.0758,2.815,0.111,Au,Ir,77,79
104,Au-La,20,14,2.9963,3.5138,3.355,0.129,Au,La,57,79
105,Au-Lu,9,7,2.8428,3.2811,3.036,0.142,Au,Lu,71,79
