uuid,molecule,fragments,linker,anchor_1,anchor_2,energy,idx,keep
0,O=C([O-])c1cc(C(=O)[O-])c(O)c(-c2c(O)cc(-c3cc(C(=O)[O-])c(O)c(C(=O)[O-])c3)cc2O)c1,O=C([O-])c1ccc(O)c(C(=O)[O-])c1.O=C([O-])c1cccc(C(=O)[O-])c1O,Oc1cccc(O)c1,11,18,72.67179722189138,0,True
15,O=C([O-])c1cc(C(=O)[O-])c(O)c(-c2ccc(-c3c(O)c(C(=O)[O-])cc(C(=O)[O-])c3O)cc2)c1,O=C([O-])c1cc(C(=O)[O-])c(O)cc1O.O=C([O-])c1ccc(O)c(C(=O)[O-])c1,c1ccccc1,11,25,74.66364722001396,15,True
33,Cc1cc(-c2cc(C(=O)[O-])c(C)c(C(=O)[O-])c2C)c(C)c(C)c1-c1cc(C(=O)[O-])cc(C(=O)[O-])c1,Cc1ccc(C(=O)[O-])c(C)c1C(=O)[O-].O=C([O-])c1cccc(C(=O)[O-])c1,Cc1ccc(C)c(C)c1,7,24,94.4645838052912,33,True
49,Cc1cc(-c2cc(C(=O)[O-])c(C)c(C(=O)[O-])c2C)c(C)c(C)c1-c1c(C)c(C(=O)[O-])c(C)c(C(=O)[O-])c1C,Cc1cc(C)c(C(=O)[O-])c(C)c1C(=O)[O-].Cc1ccc(C(=O)[O-])c(C)c1C(=O)[O-],Cc1ccc(C)c(C)c1,8,22,123.57482998727652,49,True
61,FC(=C(F)c1cc(F)nc(F)c1F)c1ccncc1F,Fc1ccc(F)c(F)n1.Fc1cccnc1,FC=CF,3,15,37.26130360518047,61,True
74,O=C([O-])c1cc(C(=O)[O-])c(O)c(-c2cc(O)c(-c3cc(C(=O)[O-])c(O)c(C(=O)[O-])c3O)c(O)c2)c1,O=C([O-])c1ccc(O)c(C(=O)[O-])c1.O=C([O-])c1ccc(O)c(C(=O)[O-])c1O,Oc1cccc(O)c1,11,18,77.67145256568085,74,True
90,O=C([O-])c1ccc(-c2nnc(-c3ccc(C(=O)[O-])c(F)c3)nn2)c(F)c1,O=C([O-])c1cccc(F)c1.O=C([O-])c1ccccc1F,c1nncnn1,6,16,44.72180605104452,90,True
97,Fc1cc(-c2c(F)cnc(F)c2F)ccc1-c1c(F)cnc(F)c1F,Fc1cnc(F)c(F)c1.Fc1cnc(F)c(F)c1,Fc1ccccc1,8,17,49.74653991627731,97,True
104,O=C([O-])c1ccc(-c2ccc(-c3cc(F)c(C(=O)[O-])cc3F)cc2)c(F)c1,O=C([O-])c1cc(F)ccc1F.O=C([O-])c1cccc(F)c1,c1ccccc1,7,17,54.18130139160765,104,True
118,Cc1cc(-c2nnc(-c3ccncc3C)nn2)c(C)cn1,Cc1ccc(C)nc1.Cc1cccnc1,c1nncnn1,3,14,50.81224796962552,118,True
122,O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])cc3F)cc2F)cc1,O=C([O-])c1cccc(F)c1.O=C([O-])c1ccccc1,Fc1ccccc1,6,15,53.034371840389,122,True
134,O=C([O-])c1cc(F)c(-c2nnc(-c3cc(F)c(C(=O)[O-])c(F)c3F)nn2)c(F)c1,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1cc(F)cc(F)c1,c1nncnn1,7,19,49.141878561657954,134,True
